Episode Number,Episode Title,Episode Date,ASIN,Book Title,Amazon Link,Episode URL
33,"Football Transfers",2017-08-28,"8193197690","Between the Buyer and the Seller","https://www.amazon.in/Between-Buyer-Seller-Karthik-Shashidhar/dp/8193197690/ref=sr_1_1?ie=UTF8","https://seenunseen.in/episodes/2017/8/28/episode-33-football-transfers/"
34,"Uber Surge Pricing",2017-09-03,"8193197690","Between the Buyer and the Seller","https://www.amazon.in/Between-Buyer-Seller-Karthik-Shashidhar/dp/8193197690/ref=sr_1_1?ie=UTF8","https://seenunseen.in/episodes/2017/9/3/episode-34-uber-surge-pricing/"
36,"Sezs Special Economic Zones",2017-09-17,"8193197690","Between the Buyer and the Seller","https://www.amazon.in/Between-Buyer-Seller-Karthik-Shashidhar/dp/8193197690/ref=sr_1_1?ie=UTF8","https://seenunseen.in/episodes/2017/9/17/episode-36-sezs-special-economic-zones/"
43,"Parenthood",2017-11-20,"9386797003","Amazon Book Link","https://www.amazon.in/My-Daughters-Mum-Natasha-Badhwar/dp/9386797003/ref=sr_1_1?ie=UTF8","https://seenunseen.in/episodes/2017/11/20/episode-43-parenthood/"
45,"The Bjps Magic Formula",2017-12-04,"9386228459","tag=maswe-21"" target=""_blank"" rel=""noopener"" data-saferedirecturl=""https://www","https://www.amazon.in/gp/product/9386228459/ref=oh_aui_detailpage_o06_s00?ie=UTF8","https://seenunseen.in/episodes/2017/12/4/episode-45-the-bjps-magic-formula/"
214,"Raghu Sanjaylal Jaitleys Fathers Scooter",2021-02-28,"9386228459","tag=maswe-21"" target=""_blank"" rel=""noopener"" data-saferedirecturl=""https://www","https://www.amazon.in/gp/product/9386228459/ref=oh_aui_detailpage_o06_s00?ie=UTF8","https://seenunseen.in/episodes/2021/2/28/episode-214-raghu-sanjaylal-jaitleys-fathers-scooter/"
214,"Raghu Sanjaylal Jaitleys Fathers Scooter",2021-02-28,"9386228459","tag=maswe-21"" target=""_blank"" rel=""noopener"" data-saferedirecturl=""https://www","https://www.amazon.in/gp/product/9386228459/ref=oh_aui_detailpage_o06_s00?ie=UTF8","https://seenunseen.in/episodes/2021/2/28/episode-214-raghu-sanjaylal-jaitleys-fathers-scooter/"
223,"The Economics And Politics Of Vaccines",2021-05-02,"9386228459","tag=maswe-21"" target=""_blank"" rel=""noopener"" data-saferedirecturl=""https://www","https://www.amazon.in/gp/product/9386228459/ref=oh_aui_detailpage_o06_s00?ie=UTF8","https://seenunseen.in/episodes/2021/5/2/episode-223-the-economics-and-politics-of-vaccines/"
233,"Pranay Kotasthane Talks Public Policy",2021-07-11,"9386228459","tag=maswe-21"" target=""_blank"" rel=""noopener"" data-saferedirecturl=""https://www","https://www.amazon.in/gp/product/9386228459/ref=oh_aui_detailpage_o06_s00?ie=UTF8","https://seenunseen.in/episodes/2021/7/11/episode-233-pranay-kotasthane-talks-public-policy/"
233,"Pranay Kotasthane Talks Public Policy",2021-07-11,"9386228459","tag=maswe-21"" target=""_blank"" rel=""noopener"" data-saferedirecturl=""https://www","https://www.amazon.in/gp/product/9386228459/ref=oh_aui_detailpage_o06_s00?ie=UTF8","https://seenunseen.in/episodes/2021/7/11/episode-233-pranay-kotasthane-talks-public-policy/"
