ASIN,Book Title,Amazon Link,Episode Count,Episode Numbers
"8193197690","Between the Buyer and the Seller","https://www.amazon.in/Between-Buyer-Seller-Karthik-Shashidhar/dp/8193197690/ref=sr_1_1?ie=UTF8",3,"33;34;36"
"9386797003","My Daughter'S Mum - Reissue","https://www.amazon.in/My-Daughters-Mum-Natasha-Badhwar/dp/9386797003/ref=sr_1_1?ie=UTF8",1,"43"
"9386228459","HOW THE BJP WINS: Inside India’s Greatest Election Machine","https://www.amazon.in/gp/product/9386228459/ref=oh_aui_detailpage_o06_s00?ie=UTF8",12,"45;214;214;223;233;233;247;247;283;283;318;318"
"813211342X","Easy Money: Evolution of Money from Robinson Crusoe to the First World War","https://www.amazon.in/Easy-Money-Evolution-Robinson-Crusoe/dp/813211342X/ref=pd_cp_14_3?_encoding=UTF8",1,"56"
"8132113438","Easy Money: Evolution of the Global Financial System to the Great Bubble Burst","https://www.amazon.in/Easy-Money-Evolution-Global-Financial/dp/8132113438/ref=pd_cp_14_2?_encoding=UTF8",1,"56"
"8132113446","Easy Money: The Greatest Ponzi Scheme Ever and How It Is Set to Destroy the Global Financial System","https://www.amazon.in/Easy-Money-Greatest-Destroy-Financial/dp/8132113446/ref=sr_1_1?ie=UTF8",1,"56"
"B07BFMJW18","The Easy Money Trilogy","https://www.amazon.in/Easy-Money-Evolution-Robinson-Crusoe-ebook/dp/B07BFMJW18/ref=sr_1_1_twi_kin_2?ie=UTF8",1,"71"
"8183285244","The Strategy Trap: India and Pakistan Under the Nuclear Shadow","https://www.amazon.in/Strategy-Trap-Pakistan-Nuclear-Shadow/dp/8183285244/ref=sr_1_1?s=books",1,"80"
"B072WKXMML","Where India Goes","https://www.amazon.in/Where-India-Goes-Abandoned-Development-ebook/dp/B072WKXMML/ref=sr_1_1_twi_kin_2?ie=UTF8",1,"82"
"B079527NJC","Dreamers: How Indians are Changing the World","https://www.amazon.in/Dreamers-Young-Indians-Changing-Their-ebook/dp/B079527NJC/ref=sr_1_1_twi_kin_2?ie=UTF8",15,"83;192;192;235;235;247;247;255;255;291;291;303;303;314;314"
"8171888429","Down to Earth","https://www.amazon.in/gp/product/8171888429/ref=oh_aui_search_detailpage?ie=UTF8",4,"86;140;264;264"
"B07DGG4V9F","The Most Dangerous Place: A History of the United States in South Asia","https://www.amazon.in/Most-Dangerous-Place-History-United-ebook/dp/B07DGG4V9F/ref=sr_1_1_twi_kin_2?ie=UTF8",1,"93"
"B003ODI67E","The Rational Optimist: How Prosperity Evolves","https://www.amazon.in/Rational-Optimist-How-Prosperity-Evolves-ebook/dp/B003ODI67E/ref=sr_1_7_twi_kin_2?ie=UTF8",1,"96"
"B00S5LDWII","The Evolution of Everything: How Small Changes Transform Our World","https://www.amazon.in/Evolution-Everything-Small-Changes-Transform-ebook/dp/B00S5LDWII/ref=sr_1_3_twi_kin_2?ie=UTF8",1,"96"
"B002VNFNY2","The Origins of Virtue (Penguin Press Science)","https://www.amazon.in/Origins-Virtue-Penguin-Press-Science-ebook/dp/B002VNFNY2/ref=sr_1_6_twi_kin_2?ie=UTF8",1,"96"
"B06Y6248H5","Genome: The Autobiography of a Species in 23 Chapters","https://www.amazon.in/Genome-Autobiography-Species-23-Chapters-ebook/dp/B06Y6248H5/ref=tmm_kin_swatch_0?_encoding=UTF8",1,"96"
"9386228734","Rebel Sultans","https://www.amazon.in/Rebel-Sultans-Deccan-Khilji-Shivaji/dp/9386228734/ref=sr_1_1?ie=UTF8",4,"98;144;172;172"
"B075ZGBY6Q","Enlightenment Now: The Case for Reason, Science, Humanism, and Progress","https://www.amazon.in/Enlightenment-Now-Science-Humanism-Progress-ebook/dp/B075ZGBY6Q/ref=sr_1_1_twi_kin_2?ie=UTF8",1,"101"
"B002XHNM5S","The Blank Slate","https://www.amazon.in/Blank-Slate-Modern-Penguin-Science-ebook/dp/B002XHNM5S/ref=sr_1_12_twi_kin_2?ie=UTF8",15,"101;165;165;200;200;228;228;252;252;258;258;271;271;299;299"
"B07J9VHB2V","The Paradoxical Prime Minister","https://www.amazon.in/The-Paradoxical-Prime-Minister-ebook/dp/B07J9VHB2V/ref=sr_1_2_twi_kin_2?ie=UTF8",1,"102"
"B07KSCKFPR","Emergency Chronicles","https://www.amazon.in/Emergency-Chronicles-Indira-Democracys-Turning-ebook/dp/B07KSCKFPR/ref=sr_1_2?ie=UTF8",13,"103;242;242;302;302;305;305;306;306;327;327;333;333"
"B01N6HNGS7","Gandhi Before India","https://www.amazon.in/Gandhi-before-India-Ramachandra-Guha-ebook/dp/B01N6HNGS7/ref=sr_1_6_twi_kin_2?s=books",6,"104;105;324;324;327;327"
"0670083887","Gandhi versus the Raj","https://www.amazon.in/Gandhi-Years-That-Changed-World/dp/0670083887/ref=sr_1_4?s=books",2,"104;105"
"B006QV7ZMS","Reasons and Persons","https://www.amazon.in/Reasons-Persons-Derek-Parfit-ebook/dp/B006QV7ZMS/ref=sr_1_1_twi_kin_2?ie=UTF8",5,"106;300;300;307;307"
"B06XKNHGN1","The Odyssey","https://www.amazon.in/Odyssey-Homer-ebook/dp/B06XKNHGN1/ref=pd_sim_351_7?_encoding=UTF8",3,"106;315;315"
"B07G9DFC8W","Stubborn Attachments: A Vision for a Society of Free, Prosperous, and Responsible Individuals","https://www.amazon.in/Stubborn-Attachments-Prosperous-Responsible-Individuals-ebook/dp/B07G9DFC8W/ref=sr_1_5?ie=UTF8",1,"106"
"0262038765","Order Without Design","https://www.amazon.in/Order-without-Design-Markets-Cities/dp/0262038765/ref=sr_1_1?ie=UTF8",5,"108;180;180;191;191"
"0330458078","Triumph of the City","https://www.amazon.in/Triumph-City-Urban-Spaces-Human/dp/0330458078/ref=pd_sim_14_22?_encoding=UTF8",1,"108"
"B00KEW8KC4","Plato at the Googleplex: Why Philosophy Won't Go Away","https://www.amazon.in/Plato-Googleplex-Philosophy-Wont-Away-ebook/dp/B00KEW8KC4/ref=sr_1_1_twi_kin_2?ie=UTF8",1,"109"
"B01KBN0HYY","Crude Nation: How Oil Riches Ruined Venezuela","https://www.amazon.in/Crude-Nation-Riches-Ruined-Venezuela-ebook/dp/B01KBN0HYY/ref=sr_1_1_twi_kin_2?ie=UTF8",1,"110"
"B00AO3K00S","Comandante: Inside Hugo Chavez&#8217;s Venezuela","https://www.amazon.in/Comandante-Inside-Hugo-Chavezs-Venezuela-ebook/dp/B00AO3K00S/ref=sr_1_1_twi_kin_2?ie=UTF8",1,"110"
"B000SF52VO","Hugo Chávez: The Definitive Biography","https://www.amazon.in/Hugo-Chavez-Cristina-Marcano-ebook/dp/B000SF52VO/ref=sr_1_5_twi_kin_2?ie=UTF8",1,"110"
"B07731KM5K","Not War, Not Peace?: Motivating Pakistan to Prevent Cross-Border Terrorism","https://www.amazon.in/Not-War-Peace-Motivating-Cross-Border-ebook/dp/B07731KM5K/ref=sr_1_1_twi_kin_2?ie=UTF8",1,"111"
"B0792QPFHM","Images of Terror: What We Can and Can't Know about Terrorism","https://www.amazon.in/Images-Terror-What-about-Terrorism-ebook/dp/B0792QPFHM/ref=tmm_kin_swatch_0?_encoding=UTF8",1,"111"
"0199325154","Strategy: A History","https://www.amazon.in/Strategy-History-Sir-Lawrence-Freedman/dp/0199325154",1,"111"
"938622898X","Early Indians","https://www.amazon.in/Early-Indians-Story-Ancestors-Where/dp/938622898X/ref=sr_1_3?ie=UTF8",21,"112;215;215;221;221;250;250;282;282;292;292;297;297;305;305;315;315;339;339;431;431"
"0198831447","Who We Are and How We Got Here","https://www.amazon.in/Who-Are-How-Got-Here/dp/0198831447/ref=pd_bxgy_14_img_2/255-5058145-1550036?_encoding=UTF8",5,"112;282;282;297;297"
"B010Q1KEIU","1971: A Global History of the Creation of Bangladesh","https://www.amazon.in/1971-Srinath-Raghavan-ebook/dp/B010Q1KEIU/ref=sr_1_5_twi_kin_2?ie=UTF8",1,"113"
"B00FBB6HYQ","The Blood Telegram","https://www.amazon.in/Blood-Telegram-Gary-J-Bass-ebook/dp/B00FBB6HYQ/ref=pd_sim_351_5/255-5058145-1550036?_encoding=UTF8",1,"113"
"B01MSY5B4S","When Crime Pays","https://www.amazon.in/When-Crime-Pays-Muscle-Politics-ebook/dp/B01MSY5B4S/ref=sr_1_fkmrnull_1?keywords=when+crime+pays",3,"114;247;247"
"9350291460","Ayodhya: A Dark Night","https://www.amazon.in/Ayodhya-Secret-History-Appearance-Masjid/dp/9350291460/ref=mp_s_a_1_1?keywords=babri+jha",4,"115;124;283;283"
